package_name,is_obsolete
com.smartsound.skeeperheart,1
trx.org.freewallet.app,1
au.gov.health.covidsafe,1
com.deepdownapp.forandroidtv,1
com.sd.rentpass,1
com.garrettmotion.garrett,1
com.simshine.aiot,1
lv.HoursOfService,1
com.XRHealth.VRPortalControl,1
com.logmor.ltesmartplug,1
eu.helmchat.meet,1
com.nuance.nmdp,1
com.allports.android.driver,1
com.neutrogena.skin360,1
io.appsly.stepper,1
com.halo.sportsplazamercatorhalo,1
com.bluefire_llc.global.trucks,1
com.mkopohela.mk4,1
com.healthandfitness.android.luckygo,1
com.izotope.spire,1
com.powercruisecontrol.i3,1
com.engytec,1
com.eegsmart.umindmirror,1
co.remotephilips.remote.philips.apps6,1
ee.rautsik.simpletvremotecontrol,1
com.earth.cam.street.view.livestreetview,1
com.infinix.xlife2,1
com.smart.mengma,1
chatgpt.ai.assistant.genie.elongpt,1
com.printheaddoctor.phd,1
vip.theliftlounge.train.own,1
com.ema.yotta,1
blackpaw.litchen.lights,1
com.monotype.android.font.free.fifty.written,1
com.medm.telemediq.diary,1
com.jibao.btcontrol.en,1
com.queeclink.home.v2,1
com.imsmart.devices,1
com.katgo,1
com.conneqtech.urbanarrow,1
com.jpsoftware.sharey,1
io.spotsales.demo,1
com.trainerize.fitbodybootcamp,1
cn.appscomm.p03a,1
in.hjlabs.swiboard,1
com.blujit.mileagetracker,1
com.infoweise.parentalcontrol.secureteen.child,1
hyper.androidinfo,1
com.azarton.cam,1
za.co.ipay.ei.utilitiesconnected,1
com.remotecontrol.roku.remote,1
com.bioservo.biocloud.ironconnectpro,1
in.remote.www.sharptvremote,1
com.moocall.moocall,1
de.baimos.blueid.client.sdk.demo,1
tw.com.syntronix.homepanel,1
com.mezoo.hicardi_gateway,1
de.berner.bernerbox.app,1
com.screencast.mirroring.mirroringtvcast,1
com.kinvent.kforce,1
com.dabapps.centurion,1
com.gpsfile.gpsboat,1
com.qwizeen.pos,1
gov.ny.health.proximity,1
com.remote.controlForStarTimes,1
com.bci.plutotrigger,1
cz.skodaauto.connect,1
com.cooingdv.nauticaaero,1
com.cs.dns,1
com.thinkrace.oplay_watch,1
cc.kittenbot.kblock,1
com.deltacontrols.o3hub,1
com.manridy.iband,1
