package,installs,minInstalls,realInstalls,downloads,version
com.google.android.marvin.talkback,"10,000,000,000+",10000000000.0,17197070122.0,17197070122,
com.google.android.projection.gearhead,"10,000,000,000+",10000000000.0,11415100844.0,11415100844,
com.google.android.apps.googleassistant,"5,000,000,000+",5000000000.0,5699318316.0,5699318316,0.1.884448652
com.samsung.android.lool,"1,000,000,000+",1000000000.0,4940309381.0,4940309381,13.8.71.1
com.google.android.deskclock,"1,000,000,000+",1000000000.0,3185566487.0,3185566487,
com.xiaomi.midrop,"1,000,000,000+",1000000000.0,2660164795.0,2660164795,3.47.11
com.lenovo.anyshare.gps,"1,000,000,000+",1000000000.0,2516753335.0,2516753335,6.26.78_ww
com.google.android.accessibility.switchaccess,"1,000,000,000+",1000000000.0,2296086325.0,2296086325,1.16.1.798952610
com.sec.android.app.shealth,"1,000,000,000+",1000000000.0,2231719581.0,2231719581,
com.sec.android.easyMover,"1,000,000,000+",1000000000.0,2050471970.0,2050471970,3.7.69.15
com.sec.app.samsungprintservice,"1,000,000,000+",1000000000.0,1801049596.0,1801049596,3.11.250805
com.google.android.apps.chromecast.app,"1,000,000,000+",1000000000.0,1431126398.0,1431126398,
com.samsung.android.oneconnect,"1,000,000,000+",1000000000.0,1175737414.0,1175737414,
com.samsung.android.app.watchmanager,"1,000,000,000+",1000000000.0,1067750918.0,1067750918,
com.hp.android.printservice,"1,000,000,000+",1000000000.0,1015486012.0,1015486012,23.2.5.3169
com.oplus.melody,"500,000,000+",500000000.0,931530544.0,931530544,16.5.0
com.jio.myjio,"500,000,000+",500000000.0,873155806.0,873155806,8.0.29
cn.xender,"500,000,000+",500000000.0,712919946.0,712919946,
com.samsung.android.service.health,"100,000,000+",100000000.0,428703927.0,428703927,1.6.05.03
com.google.android.accessibility.soundamplifier,"100,000,000+",100000000.0,408550839.0,408550839,
com.venticake.retrica,"100,000,000+",100000000.0,372404370.0,372404370,9.0.1
com.cyberlink.youcammakeup,"100,000,000+",100000000.0,369089245.0,369089245,
com.transsion.healthlife,"100,000,000+",100000000.0,358174428.0,358174428,5.3.1.7
com.google.android.apps.fitness,"100,000,000+",100000000.0,345936246.0,345936246,
com.fitbit.FitbitMobile,"100,000,000+",100000000.0,244082593.0,244082593,
com.cyberlink.youperfect,"100,000,000+",100000000.0,221619513.0,221619513,
