app,urls_count,B_count,NB_count,ads,malware,spyware,phishing,spam,tracking,scams,suspicious
ExtendedWifiInfoWidget.Widget,7,1,6,0,0,0,0,0,0,0,1
Itgmbh.Elvis.AndroidViewer,93,6,87,0,0,0,0,0,0,0,6
RadioThermostat.com,91,17,74,12,0,0,0,0,1,0,4
a.RingsAnimationForHT,6,2,4,0,0,0,0,0,0,0,2
a.TorusKmapAR,20,4,16,0,0,0,0,0,0,0,4
a.screenmirroring,93,5,88,0,0,1,0,0,0,0,4
a.trendy.eld,63,10,53,5,0,0,0,0,0,0,5
a4_storm.com.a360lock,69,13,56,2,0,0,0,0,0,0,11
a8.com.cbm,50,6,44,2,0,0,0,0,0,0,4
aaa.example.archerpatrol,30,4,26,0,0,0,0,0,0,0,4
aaa_lux_lighting.com.aaapp,2,2,0,0,0,0,0,0,0,0,2
aab.advertisinapp,184,23,161,17,0,0,0,0,1,0,5
aacnet.eu.Broadnet,21,1,20,0,0,0,0,0,0,0,1
aarsoftronix.com.iThermoBT,2,2,0,0,0,0,0,0,0,0,2
aarsoftronix.com.ifluidthingspeak,4,2,2,0,0,0,0,0,0,0,2
aarsoftronix.com.ifluidwi_fi,3,2,1,0,0,0,0,0,0,0,2
aarsoftronix.com.igadget,9,2,7,0,0,0,0,0,0,0,2
aat.myloc8tr.v1,110,5,105,0,0,0,0,0,0,0,5
aat.pl.nms,4,2,2,0,0,0,0,0,0,0,2
abdelrahman.wifimaestro,65,17,48,13,0,0,0,0,1,0,3
abdo.free.remote.lg.tv,131,33,98,20,0,0,0,0,1,0,12
abdo.free.remote.samsung.tv,131,33,98,20,0,0,0,0,1,0,12
aber.app,109,18,91,6,0,0,0,0,0,0,12
abirodroid.mi,73,18,55,14,0,0,0,0,1,0,3
abis.smart.electronics,235,7,228,0,0,0,0,0,3,0,4
abl.itag,9,3,6,0,0,0,0,0,0,0,3
abnstudio.pcaccess.wifipclive,210,4,206,1,0,0,0,0,0,0,3
aboutdevice.com.munir.symphony.mysymphony,70,26,44,14,0,0,0,0,1,0,11
ac.android.biopico.CellsDX,3,3,0,0,0,0,0,0,0,0,3
ac.remote.acremote.universalacremote.acremotecontrol.smartacremote,124,58,66,53,0,0,0,0,1,0,4
ac.setupbox.dvd.camera.projector.remote.control.universal.forall.tv,656,18,638,13,0,0,1,0,1,0,3
acInstall.hiruteknova.es,48,1,47,0,0,0,0,0,0,0,1
accedo.airtel.wynk.freeairteltvsportsappguide.livetv.freetv.airteltv01,36,14,22,10,0,0,0,0,1,0,3
accedo.airtel.wynk.freeairteltvsportsappguide.livetv.freetv.airteltv06,37,14,23,10,0,0,0,0,1,0,3
accellos.skytrack,13,2,11,0,0,0,0,0,0,0,2
accentmedia.v001,299,8,291,0,0,0,0,0,2,0,6
access.com.app,208,6,202,0,0,0,0,0,1,0,5
access.live.camera.cctv.camera.publicy.online,83,23,60,17,0,0,0,0,1,0,5
acom.ams.safe2start,40,7,33,4,0,0,0,0,0,0,3
acremotecontroller.airconditionerremote.allacremote,8,5,3,1,0,0,0,0,0,0,4
