rank,hostname,frequency,num_top_apps_using,sample_url,first_app
1,cs3.pixelcaster.com,1,1,http://cs3.pixelcaster.com:1935/hbcams/hbpier2.stream/playlist.m3u8,com.vslib.cameras.worldwide
2,airtech-7f768.firebaseio.com,1,1,https://airtech-7f768.firebaseio.com,dev.eastasia.airtech
3,lefkas-weather.com,1,1,http://lefkas-weather.com,com.vslib.cameras.worldwide
4,gnaus.com,1,1,https://gnaus.com/wp-content/uploads/webcam/,com.vslib.cameras.worldwide
5,my.iotashome.com,1,1,https://my.iotashome.com/,com.risesoftware.casata
6,www.orllo.so,1,1,http://www.ORLLO.so,vstc.KRIS.client
7,myiotathome-tuya.firebaseio.com,1,1,https://myiotathome-tuya.firebaseio.com,com.kiiot.myiotathome
8,tekninja.in,1,1,http://tekninja.in/,in.tekninja
9,stadtwerke-guenzburg.de,1,1,http://stadtwerke-guenzburg.de/cam/,com.vslib.cameras.worldwide
10,vufe53.ddns3-instar.de,1,1,http://vufe53.ddns3-instar.de:8081/cgi-bin/hi3510/,com.vslib.cameras.worldwide
11,www.hubiwetter-sirnach.ch,1,1,http://www.hubiwetter-sirnach.ch,com.vslib.cameras.worldwide
12,moree-remote-control-r.firebaseio.com,1,1,https://moree-remote-control-r.firebaseio.com,com.moreeremote.smart
13,cbj-images.s3-us-west-2.amazonaws.com,1,1,https://cbj-images.s3-us-west-2.amazonaws.com/webcam/,com.vision.cameras.us
14,homie-91b28.firebaseio.com,1,1,https://homie-91b28.firebaseio.com,com.smarthomie.homie
15,www.dailybusinessup.iveco.com,1,1,http://www.dailybusinessup.iveco.com,com.iveco.businessup
16,beachcam.meo.pt,1,1,https://beachcam.meo.pt,com.vslib.cameras.worldwide
17,www.hvmm-licht.com,1,1,http://www.hvmm-licht.com,com.telefunken.smart
18,debugcar.geekobd.com,1,1,http://debugcar.geekobd.com/api,rocket.vehiclemgr.android.obd2.google
19,www.jgy.se,1,1,http://www.jgy.se/cam/jgybilder/,com.vslib.cameras.worldwide
20,cams.is74.ru,1,1,https://cams.is74.ru/snapshots/,com.vslib.cameras.worldwide
21,shophis-demo.imweb.me,1,1,https://shophis-demo.imweb.me/,com.nlln
22,staging32.risebuildings.com,1,1,https://staging32.risebuildings.com/,com.risesoftware.casata
23,www.linganbox.com,1,1,http://www.linganbox.com/baozd/agreement_description.html,com.lingan.zigbee
24,test.dinsafer.com,1,1,https://test.dinsafer.com,com.maxxone.mykite
25,www.iabode.in,1,1,https://www.iabode.in/about-us/,com.iabode.app
26,supacell-wifi.firebaseio.com,1,1,https://supacell-wifi.firebaseio.com,com.supacell.smart
27,www.shanling.xyz,1,1,http://www.shanling.xyz:2727/shanling-api/,com.shanling.shanlingcontroller
28,www.zjazdnostbbrsc.sk,1,1,http://www.zjazdnostbbrsc.sk,com.vslib.cameras.worldwide
29,dotsignals.org,1,1,http://dotsignals.org,com.vslib.cameras.worldwide
30,www.flyejoy.it,1,1,http://www.flyejoy.it/webcam/,com.vslib.cameras.worldwide
31,s09.vista-live.it,1,1,https://s09.vista-live.it/hls/live.stream.m3u8,com.vslib.cameras.worldwide
32,cshidnew.com,1,1,https://cshidnew.com/about-us,com.shengden.ss
33,lemhicountyairport.com,1,1,http://lemhicountyairport.com/wp-includes/images/cam/airportn.jpg?,com.vision.cameras.us
34,soemon-cho.miemasu.net,1,1,http://soemon-cho.miemasu.net:63103,com.vslib.cameras.worldwide
35,grt.customs.gov.by,1,1,http://grt.customs.gov.by/webcam/,com.vslib.cameras.worldwide
36,speerit.co,1,1,https://speerit.co,co.speerit.android
37,www.webbkameror.se,1,1,http://www.webbkameror.se,com.vslib.cameras.worldwide
38,traffic.talgov.net,1,1,https://traffic.talgov.net/HLS/CITY_CCM01.m3u8,com.vslib.cameras.worldwide
39,shesit.myhealthfeed.com,1,1,https://shesit.myhealthfeed.com/healthdata/api/v1/articles,com.envision.well.app
40,www.kblvejr.dk,1,1,http://www.kblvejr.dk,com.vslib.cameras.worldwide
41,push-us.jovcloud.com,1,1,http://push-us.jovcloud.com:6798/pub/jpush_servers,com.jovetech.cloudsee2.international2
42,seven-systems.com.ua,1,1,https://seven-systems.com.ua/g82507979-umnyj-dom-seven,com.seven.systems
43,ww.comwatt.com,1,1,https://ww.comwatt.com,com.comwatt.smarthome
44,purlette-project-1555617323992.firebaseio.com,1,1,https://purlette-project-1555617323992.firebaseio.com,com.purlette.smart
45,www.meteogouaro.nc,1,1,http://www.meteogouaro.nc/index.php?page,com.vslib.cameras.worldwide
46,djishopcanada.com,1,1,https://djishopcanada.com/repairs.html,app.sugu
47,a3.tuyacn.com,1,1,https://a3.tuyacn.com:443/d.json,com.security.SwaiotTV
48,denver-smart-living-8dce0.firebaseio.com,1,1,https://denver-smart-living-8dce0.firebaseio.com,com.denver.smartliving
49,cn-manage.ulifecam.com,1,1,https://cn-manage.ulifecam.com/feedback/,com.uniojo
50,www.univasa.com,1,1,https://www.univasa.com,com.univasa.iot
51,account.sogou.com,1,1,http://account.sogou.com/,com.sogou.recmaster
52,geenu-30d2b.firebaseio.com,1,1,https://geenu-30d2b.firebaseio.com,com.masinfionex.geenu
53,www.breakersfwb.com,1,1,http://www.breakersfwb.com,com.vision.cameras.us
54,ametest.photoegg.club,1,1,http://ametest.photoegg.club:8443,com.amethystum.cloud
55,microlinearactuator.com,1,1,https://microlinearactuator.com/,com.arduino.uni.projects.diytutorial
56,speech.sogou.com,1,1,http://speech.sogou.com/index.cgi,com.sogou.recmaster
57,www.ifihomes.com,1,1,https://www.ifihomes.com/about-us/,com.ifismartlife.www
58,www.iveco.com,1,1,http://www.iveco.com/DailyBusiness,com.iveco.businessup
59,xaralyn-smart.firebaseio.com,1,1,https://xaralyn-smart.firebaseio.com,com.xaralyn.smart
60,cdn.herm.com,1,1,https://cdn.herm.com/webcam/,com.vslib.cameras.worldwide
61,dev.send2boox.com,1,1,http://dev.send2boox.com,com.boox_helper
62,blog.thetaphi.de,1,1,http://blog.thetaphi.de/2012/07/use-lucenes-mmapdirectory-on-64bit.html,com.eggplant.virgo
63,www.greenpeace.org,1,1,http://www.greenpeace.org,com.vslib.cameras.worldwide
64,envisionwellapp.firebaseio.com,1,1,https://envisionwellapp.firebaseio.com,com.envision.well.app
65,slokapi.myslok.com,1,1,http://slokapi.myslok.com/index.php,com.supude.igearslok
66,www.angiesoft.de,1,1,http://www.angiesoft.de,com.vslib.cameras.worldwide
67,www.gesetze-im-internet.de,1,1,https://www.gesetze-im-internet.de/bdsg_1990/,com.nsoria.fit
68,iqconnect-215013.firebaseio.com,1,1,https://iqconnect-215013.firebaseio.com,com.iqconnect.app
69,www.designsmart.com.tw,1,1,https://www.designsmart.com.tw,com.woow.tech
70,www.naturlandia.ad,1,1,https://www.naturlandia.ad,com.vslib.cameras.worldwide
71,www.baili.lv,1,1,http://www.baili.lv,com.vslib.cameras.worldwide
72,www.coloradomountaincollege.com,1,1,http://www.coloradomountaincollege.com,com.vslib.cameras.worldwide
73,www.vremenska.postaja.andre.si,1,1,http://www.vremenska.postaja.andre.si,com.vslib.cameras.worldwide
74,api-pre.qu-in.com,1,1,https://api-pre.qu-in.com,com.project.aimotech.phomemom110
75,nvk.dk,1,1,http://nvk.dk/udsigt,com.vslib.cameras.worldwide
76,webcams.bsch.com.au,1,1,http://webcams.bsch.com.au/mcleans_ridges/,com.vslib.cameras.worldwide
77,gethomeflow.com,1,1,https://gethomeflow.com/about-us,com.homeflow.smart
